#,NAME,TYPE 1,TYPE 2,TOTAL,HP,ATTACK,DEFENSE,SP. ATK,SP. DEF,SPEED,GENERATION,LEGENDARY
138,OMANYTE,ROCK,WATER,355,35,40,100,90,55,35,1,FALSE
139,OMASTAR,ROCK,WATER,495,70,60,125,115,70,55,1,FALSE
140,KABUTO,ROCK,WATER,355,30,80,90,55,45,55,1,FALSE
141,KABUTOPS,ROCK,WATER,495,60,115,105,65,70,80,1,FALSE
142,AERODACTYL,ROCK,FLYING,515,80,105,65,60,75,130,1,FALSE
142,MEGA AERODACTYL,ROCK,FLYING,615,80,135,85,70,95,150,1,FALSE
143,SNORLAX,NORMAL,,540,160,110,65,65,110,30,1,FALSE
144,ARTICUNO,ICE,FLYING,580,90,85,100,95,125,85,1,TRUE
145,ZAPDOS,ELECTRIC,FLYING,580,90,90,85,125,90,100,1,TRUE
146,MOLTRES,FIRE,FLYING,580,90,100,90,125,85,90,1,TRUE
147,DRATINI,DRAGON,,300,41,64,45,50,50,50,1,FALSE
148,DRAGONAIR,DRAGON,,420,61,84,65,70,70,70,1,FALSE
149,DRAGONITE,DRAGON,FLYING,600,91,134,95,100,100,80,1,FALSE
150,MEWTWO,PSYCHIC,,680,106,110,90,154,90,130,1,TRUE
150,MEGA MEWTWO X,PSYCHIC,FIGHTING,780,106,190,100,154,100,130,1,TRUE
150,MEGA MEWTWO Y,PSYCHIC,,780,106,150,70,194,120,140,1,TRUE
151,MEW,PSYCHIC,,600,100,100,100,100,100,100,1,FALSE
152,CHIKORITA,GRASS,,318,45,49,65,49,65,45,2,FALSE
153,BAYLEEF,GRASS,,405,60,62,80,63,80,60,2,FALSE
154,MEGANIUM,GRASS,,525,80,82,100,83,100,80,2,FALSE
155,CYNDAQUIL,FIRE,,309,39,52,43,60,50,65,2,FALSE
156,QUILAVA,FIRE,,405,58,64,58,80,65,80,2,FALSE
157,TYPHLOSION,FIRE,,534,78,84,78,109,85,100,2,FALSE
158,TOTODILE,WATER,,314,50,65,64,44,48,43,2,FALSE
159,CROCONAW,WATER,,405,65,80,80,59,63,58,2,FALSE
160,FERALIGATR,WATER,,530,85,105,100,79,83,78,2,FALSE
161,SENTRET,NORMAL,,215,35,46,34,35,45,20,2,FALSE
162,FURRET,NORMAL,,415,85,76,64,45,55,90,2,FALSE
163,HOOTHOOT,NORMAL,FLYING,262,60,30,30,36,56,50,2,FALSE
164,NOCTOWL,NORMAL,FLYING,442,100,50,50,76,96,70,2,FALSE
165,LEDYBA,BUG,FLYING,265,40,20,30,40,80,55,2,FALSE
166,LEDIAN,BUG,FLYING,390,55,35,50,55,110,85,2,FALSE
167,SPINARAK,BUG,POISON,250,40,60,40,40,40,30,2,FALSE
168,ARIADOS,BUG,POISON,390,70,90,70,60,60,40,2,FALSE
169,CROBAT,POISON,FLYING,535,85,90,80,70,80,130,2,FALSE
170,CHINCHOU,WATER,ELECTRIC,330,75,38,38,56,56,67,2,FALSE
171,LANTURN,WATER,ELECTRIC,460,125,58,58,76,76,67,2,FALSE
172,PICHU,ELECTRIC,,205,20,40,15,35,35,60,2,FALSE
173,CLEFFA,FAIRY,,218,50,25,28,45,55,15,2,FALSE
174,IGGLYBUFF,NORMAL,FAIRY,210,90,30,15,40,20,15,2,FALSE
175,TOGEPI,FAIRY,,245,35,20,65,40,65,20,2,FALSE
176,TOGETIC,FAIRY,FLYING,405,55,40,85,80,105,40,2,FALSE
177,NATU,PSYCHIC,FLYING,320,40,50,45,70,45,70,2,FALSE
178,XATU,PSYCHIC,FLYING,470,65,75,70,95,70,95,2,FALSE
179,MAREEP,ELECTRIC,,280,55,40,40,65,45,35,2,FALSE
180,FLAAFFY,ELECTRIC,,365,70,55,55,80,60,45,2,FALSE
181,AMPHAROS,ELECTRIC,,510,90,75,85,115,90,55,2,FALSE
181,MEGA AMPHAROS,ELECTRIC,DRAGON,610,90,95,105,165,110,45,2,FALSE
182,BELLOSSOM,GRASS,,490,75,80,95,90,100,50,2,FALSE
183,MARILL,WATER,FAIRY,250,70,20,50,20,50,40,2,FALSE
184,AZUMARILL,WATER,FAIRY,420,100,50,80,60,80,50,2,FALSE
185,SUDOWOODO,ROCK,,410,70,100,115,30,65,30,2,FALSE
186,POLITOED,WATER,,500,90,75,75,90,100,70,2,FALSE
187,HOPPIP,GRASS,FLYING,250,35,35,40,35,55,50,2,FALSE
188,SKIPLOOM,GRASS,FLYING,340,55,45,50,45,65,80,2,FALSE
189,JUMPLUFF,GRASS,FLYING,460,75,55,70,55,95,110,2,FALSE
190,AIPOM,NORMAL,,360,55,70,55,40,55,85,2,FALSE
191,SUNKERN,GRASS,,180,30,30,30,30,30,30,2,FALSE
192,SUNFLORA,GRASS,,425,75,75,55,105,85,30,2,FALSE
193,YANMA,BUG,FLYING,390,65,65,45,75,45,95,2,FALSE
194,WOOPER,WATER,GROUND,210,55,45,45,25,25,15,2,FALSE
195,QUAGSIRE,WATER,GROUND,430,95,85,85,65,65,35,2,FALSE
196,ESPEON,PSYCHIC,,525,65,65,60,130,95,110,2,FALSE
197,UMBREON,DARK,,525,95,65,110,60,130,65,2,FALSE
198,MURKROW,DARK,FLYING,405,60,85,42,85,42,91,2,FALSE
199,SLOWKING,WATER,PSYCHIC,490,95,75,80,100,110,30,2,FALSE
200,MISDREAVUS,GHOST,,435,60,60,60,85,85,85,2,FALSE
201,UNOWN,PSYCHIC,,336,48,72,48,72,48,48,2,FALSE
202,WOBBUFFET,PSYCHIC,,405,190,33,58,33,58,33,2,FALSE
203,GIRAFARIG,NORMAL,PSYCHIC,455,70,80,65,90,65,85,2,FALSE
204,PINECO,BUG,,290,50,65,90,35,35,15,2,FALSE
205,FORRETRESS,BUG,STEEL,465,75,90,140,60,60,40,2,FALSE
206,DUNSPARCE,NORMAL,,415,100,70,70,65,65,45,2,FALSE
207,GLIGAR,GROUND,FLYING,430,65,75,105,35,65,85,2,FALSE
208,STEELIX,STEEL,GROUND,510,75,85,200,55,65,30,2,FALSE
208,MEGA STEELIX,STEEL,GROUND,610,75,125,230,55,95,30,2,FALSE
209,SNUBBULL,FAIRY,,300,60,80,50,40,40,30,2,FALSE
210,GRANBULL,FAIRY,,450,90,120,75,60,60,45,2,FALSE
211,QWILFISH,WATER,POISON,430,65,95,75,55,55,85,2,FALSE
212,SCIZOR,BUG,STEEL,500,70,130,100,55,80,65,2,FALSE
212,MEGA SCIZOR,BUG,STEEL,600,70,150,140,65,100,75,2,FALSE
213,SHUCKLE,BUG,ROCK,505,20,10,230,10,230,5,2,FALSE
214,HERACROSS,BUG,FIGHTING,500,80,125,75,40,95,85,2,FALSE
214,MEGA HERACROSS,BUG,FIGHTING,600,80,185,115,40,105,75,2,FALSE
215,SNEASEL,DARK,ICE,430,55,95,55,35,75,115,2,FALSE
216,TEDDIURSA,NORMAL,,330,60,80,50,50,50,40,2,FALSE
217,URSARING,NORMAL,,500,90,130,75,75,75,55,2,FALSE
218,SLUGMA,FIRE,,250,40,40,40,70,40,20,2,FALSE
219,MAGCARGO,FIRE,ROCK,410,50,50,120,80,80,30,2,FALSE
220,SWINUB,ICE,GROUND,250,50,50,40,30,30,50,2,FALSE
221,PILOSWINE,ICE,GROUND,450,100,100,80,60,60,50,2,FALSE
222,CORSOLA,WATER,ROCK,380,55,55,85,65,85,35,2,FALSE
223,REMORAID,WATER,,300,35,65,35,65,35,65,2,FALSE
224,OCTILLERY,WATER,,480,75,105,75,105,75,45,2,FALSE
225,DELIBIRD,ICE,FLYING,330,45,55,45,65,45,75,2,FALSE
226,MANTINE,WATER,FLYING,465,65,40,70,80,140,70,2,FALSE
227,SKARMORY,STEEL,FLYING,465,65,80,140,40,70,70,2,FALSE
228,HOUNDOUR,DARK,FIRE,330,45,60,30,80,50,65,2,FALSE
229,HOUNDOOM,DARK,FIRE,500,75,90,50,110,80,95,2,FALSE
229,MEGA HOUNDOOM,DARK,FIRE,600,75,90,90,140,90,115,2,FALSE
230,KINGDRA,WATER,DRAGON,540,75,95,95,95,95,85,2,FALSE
231,PHANPY,GROUND,,330,90,60,60,40,40,40,2,FALSE
232,DONPHAN,GROUND,,500,90,120,120,60,60,50,2,FALSE
233,PORYGON2,NORMAL,,515,85,80,90,105,95,60,2,FALSE
234,STANTLER,NORMAL,,465,73,95,62,85,65,85,2,FALSE
235,SMEARGLE,NORMAL,,250,55,20,35,20,45,75,2,FALSE
236,TYROGUE,FIGHTING,,210,35,35,35,35,35,35,2,FALSE
237,HITMONTOP,FIGHTING,,455,50,95,95,35,110,70,2,FALSE
238,SMOOCHUM,ICE,PSYCHIC,305,45,30,15,85,65,65,2,FALSE
239,ELEKID,ELECTRIC,,360,45,63,37,65,55,95,2,FALSE
240,MAGBY,FIRE,,365,45,75,37,70,55,83,2,FALSE
241,MILTANK,NORMAL,,490,95,80,105,40,70,100,2,FALSE
242,BLISSEY,NORMAL,,540,255,10,10,75,135,55,2,FALSE
243,RAIKOU,ELECTRIC,,580,90,85,75,115,100,115,2,TRUE
244,ENTEI,FIRE,,580,115,115,85,90,75,100,2,TRUE
245,SUICUNE,WATER,,580,100,75,115,90,115,85,2,TRUE
246,LARVITAR,ROCK,GROUND,300,50,64,50,45,50,41,2,FALSE
247,PUPITAR,ROCK,GROUND,410,70,84,70,65,70,51,2,FALSE
248,TYRANITAR,ROCK,DARK,600,100,134,110,95,100,61,2,FALSE
248,MEGA TYRANITAR,ROCK,DARK,700,100,164,150,95,120,71,2,FALSE
249,LUGIA,PSYCHIC,FLYING,680,106,90,130,90,154,110,2,TRUE
250,HO-OH,FIRE,FLYING,680,106,130,90,110,154,90,2,TRUE
251,CELEBI,PSYCHIC,GRASS,600,100,100,100,100,100,100,2,FALSE
252,TREECKO,GRASS,,310,40,45,35,65,55,70,3,FALSE
253,GROVYLE,GRASS,,405,50,65,45,85,65,95,3,FALSE
254,SCEPTILE,GRASS,,530,70,85,65,105,85,120,3,FALSE
254,MEGA SCEPTILE,GRASS,DRAGON,630,70,110,75,145,85,145,3,FALSE
255,TORCHIC,FIRE,,310,45,60,40,70,50,45,3,FALSE
256,COMBUSKEN,FIRE,FIGHTING,405,60,85,60,85,60,55,3,FALSE
257,BLAZIKEN,FIRE,FIGHTING,530,80,120,70,110,70,80,3,FALSE
257,MEGA BLAZIKEN,FIRE,FIGHTING,630,80,160,80,130,80,100,3,FALSE
258,MUDKIP,WATER,,310,50,70,50,50,50,40,3,FALSE
259,MARSHTOMP,WATER,GROUND,405,70,85,70,60,70,50,3,FALSE
260,SWAMPERT,WATER,GROUND,535,100,110,90,85,90,60,3,FALSE
260,MEGA SWAMPERT,WATER,GROUND,635,100,150,110,95,110,70,3,FALSE
261,POOCHYENA,DARK,,220,35,55,35,30,30,35,3,FALSE
262,MIGHTYENA,DARK,,420,70,90,70,60,60,70,3,FALSE
263,ZIGZAGOON,NORMAL,,240,38,30,41,30,41,60,3,FALSE
264,LINOONE,NORMAL,,420,78,70,61,50,61,100,3,FALSE
265,WURMPLE,BUG,,195,45,45,35,20,30,20,3,FALSE
266,SILCOON,BUG,,205,50,35,55,25,25,15,3,FALSE
267,BEAUTIFLY,BUG,FLYING,395,60,70,50,100,50,65,3,FALSE
268,CASCOON,BUG,,205,50,35,55,25,25,15,3,FALSE
269,DUSTOX,BUG,POISON,385,60,50,70,50,90,65,3,FALSE
270,LOTAD,WATER,GRASS,220,40,30,30,40,50,30,3,FALSE
271,LOMBRE,WATER,GRASS,340,60,50,50,60,70,50,3,FALSE
272,LUDICOLO,WATER,GRASS,480,80,70,70,90,100,70,3,FALSE
273,SEEDOT,GRASS,,220,40,40,50,30,30,30,3,FALSE
274,NUZLEAF,GRASS,DARK,340,70,70,40,60,40,60,3,FALSE
275,SHIFTRY,GRASS,DARK,480,90,100,60,90,60,80,3,FALSE
276,TAILLOW,NORMAL,FLYING,270,40,55,30,30,30,85,3,FALSE
277,SWELLOW,NORMAL,FLYING,430,60,85,60,50,50,125,3,FALSE
278,WINGULL,WATER,FLYING,270,40,30,30,55,30,85,3,FALSE
279,PELIPPER,WATER,FLYING,430,60,50,100,85,70,65,3,FALSE
280,RALTS,PSYCHIC,FAIRY,198,28,25,25,45,35,40,3,FALSE
281,KIRLIA,PSYCHIC,FAIRY,278,38,35,35,65,55,50,3,FALSE
282,GARDEVOIR,PSYCHIC,FAIRY,518,68,65,65,125,115,80,3,FALSE
282,MEGA GARDEVOIR,PSYCHIC,FAIRY,618,68,85,65,165,135,100,3,FALSE
283,SURSKIT,BUG,WATER,269,40,30,32,50,52,65,3,FALSE
284,MASQUERAIN,BUG,FLYING,414,70,60,62,80,82,60,3,FALSE
285,SHROOMISH,GRASS,,295,60,40,60,40,60,35,3,FALSE
286,BRELOOM,GRASS,FIGHTING,460,60,130,80,60,60,70,3,FALSE
287,SLAKOTH,NORMAL,,280,60,60,60,35,35,30,3,FALSE
288,VIGOROTH,NORMAL,,440,80,80,80,55,55,90,3,FALSE
289,SLAKING,NORMAL,,670,150,160,100,95,65,100,3,FALSE
290,NINCADA,BUG,GROUND,266,31,45,90,30,30,40,3,FALSE
291,NINJASK,BUG,FLYING,456,61,90,45,50,50,160,3,FALSE
292,SHEDINJA,BUG,GHOST,236,1,90,45,30,30,40,3,FALSE
293,WHISMUR,NORMAL,,240,64,51,23,51,23,28,3,FALSE
294,LOUDRED,NORMAL,,360,84,71,43,71,43,48,3,FALSE
295,EXPLOUD,NORMAL,,490,104,91,63,91,73,68,3,FALSE
296,MAKUHITA,FIGHTING,,237,72,60,30,20,30,25,3,FALSE
297,HARIYAMA,FIGHTING,,474,144,120,60,40,60,50,3,FALSE
298,AZURILL,NORMAL,FAIRY,190,50,20,40,20,40,20,3,FALSE
299,NOSEPASS,ROCK,,375,30,45,135,45,90,30,3,FALSE
300,SKITTY,NORMAL,,260,50,45,45,35,35,50,3,FALSE
301,DELCATTY,NORMAL,,380,70,65,65,55,55,70,3,FALSE
302,SABLEYE,DARK,GHOST,380,50,75,75,65,65,50,3,FALSE
302,MEGA SABLEYE,DARK,GHOST,480,50,85,125,85,115,20,3,FALSE
303,MAWILE,STEEL,FAIRY,380,50,85,85,55,55,50,3,FALSE
303,MEGA MAWILE,STEEL,FAIRY,480,50,105,125,55,95,50,3,FALSE
304,ARON,STEEL,ROCK,330,50,70,100,40,40,30,3,FALSE
305,LAIRON,STEEL,ROCK,430,60,90,140,50,50,40,3,FALSE
306,AGGRON,STEEL,ROCK,530,70,110,180,60,60,50,3,FALSE
306,MEGA AGGRON,STEEL,,630,70,140,230,60,80,50,3,FALSE
307,MEDITITE,FIGHTING,PSYCHIC,280,30,40,55,40,55,60,3,FALSE
308,MEDICHAM,FIGHTING,PSYCHIC,410,60,60,75,60,75,80,3,FALSE
308,MEGA MEDICHAM,FIGHTING,PSYCHIC,510,60,100,85,80,85,100,3,FALSE
309,ELECTRIKE,ELECTRIC,,295,40,45,40,65,40,65,3,FALSE
310,MANECTRIC,ELECTRIC,,475,70,75,60,105,60,105,3,FALSE
310,MEGA MANECTRIC,ELECTRIC,,575,70,75,80,135,80,135,3,FALSE
311,PLUSLE,ELECTRIC,,405,60,50,40,85,75,95,3,FALSE
312,MINUN,ELECTRIC,,405,60,40,50,75,85,95,3,FALSE
313,VOLBEAT,BUG,,400,65,73,55,47,75,85,3,FALSE
314,ILLUMISE,BUG,,400,65,47,55,73,75,85,3,FALSE
315,ROSELIA,GRASS,POISON,400,50,60,45,100,80,65,3,FALSE
316,GULPIN,POISON,,302,70,43,53,43,53,40,3,FALSE
317,SWALOT,POISON,,467,100,73,83,73,83,55,3,FALSE
318,CARVANHA,WATER,DARK,305,45,90,20,65,20,65,3,FALSE
319,SHARPEDO,WATER,DARK,460,70,120,40,95,40,95,3,FALSE
319,MEGA SHARPEDO,WATER,DARK,560,70,140,70,110,65,105,3,FALSE
320,WAILMER,WATER,,400,130,70,35,70,35,60,3,FALSE
321,WAILORD,WATER,,500,170,90,45,90,45,60,3,FALSE
322,NUMEL,FIRE,GROUND,305,60,60,40,65,45,35,3,FALSE
