#,NAME,TYPE 1,TYPE 2,HP,ATTACK,DEFENSE,SP. ATK,SP. DEF,SPEED,
64,KADABRA,PSYCHIC,,40,35,30,120,70,105,
65,ALAKAZAM,PSYCHIC,,55,50,45,135,95,120,
65,MEGA ALAKAZAM,PSYCHIC,,55,50,65,175,95,150,
66,MACHOP,FIGHTING,,70,80,50,35,35,35,
67,MACHOKE,FIGHTING,,80,100,70,50,60,45,
68,MACHAMP,FIGHTING,,90,130,80,65,85,55,
69,BELLSPROUT,GRASS,POISON,50,75,35,70,30,40,
70,WEEPINBELL,GRASS,POISON,65,90,50,85,45,55,
71,VICTREEBEL,GRASS,POISON,80,105,65,100,70,70,
72,TENTACOOL,WATER,POISON,40,40,35,50,100,70,
73,TENTACRUEL,WATER,POISON,80,70,65,80,120,100,
74,GEODUDE,ROCK,GROUND,40,80,100,30,30,20,
75,GRAVELER,ROCK,GROUND,55,95,115,45,45,35,
76,GOLEM,ROCK,GROUND,80,120,130,55,65,45,
77,PONYTA,FIRE,,50,85,55,65,65,90,
78,RAPIDASH,FIRE,,65,100,70,80,80,105,
79,SLOWPOKE,WATER,PSYCHIC,90,65,65,40,40,15,
80,SLOWBRO,WATER,PSYCHIC,95,75,110,100,80,30,
80,MEGA SLOWBRO,WATER,PSYCHIC,95,75,180,130,80,30,
81,MAGNEMITE,ELECTRIC,STEEL,25,35,70,95,55,45,
82,MAGNETON,ELECTRIC,STEEL,50,60,95,120,70,70,
83,FARFETCH'D,NORMAL,FLYING,52,65,55,58,62,60,
84,DODUO,NORMAL,FLYING,35,85,45,35,35,75,
85,DODRIO,NORMAL,FLYING,60,110,70,60,60,100,
86,SEEL,WATER,,65,45,55,45,70,45,
87,DEWGONG,WATER,ICE,90,70,80,70,95,70,
88,GRIMER,POISON,,80,80,50,40,50,25,
89,MUK,POISON,,105,105,75,65,100,50,
90,SHELLDER,WATER,,30,65,100,45,25,40,
91,CLOYSTER,WATER,ICE,50,95,180,85,45,70,
92,GASTLY,GHOST,POISON,30,35,30,100,35,80,
93,HAUNTER,GHOST,POISON,45,50,45,115,55,95,
94,GENGAR,GHOST,POISON,60,65,60,130,75,110,
94,MEGA GENGAR,GHOST,POISON,60,65,80,170,95,130,
95,ONIX,ROCK,GROUND,35,45,160,30,45,70,
96,DROWZEE,PSYCHIC,,60,48,45,43,90,42,
97,HYPNO,PSYCHIC,,85,73,70,73,115,67,
98,KRABBY,WATER,,30,105,90,25,25,50,
99,KINGLER,WATER,,55,130,115,50,50,75,
100,VOLTORB,ELECTRIC,,40,30,50,55,55,100,
101,ELECTRODE,ELECTRIC,,60,50,70,80,80,140,
102,EXEGGCUTE,GRASS,PSYCHIC,60,40,80,60,45,40,
103,EXEGGUTOR,GRASS,PSYCHIC,95,95,85,125,65,55,
104,CUBONE,GROUND,,50,50,95,40,50,35,
105,MAROWAK,GROUND,,60,80,110,50,80,45,
106,HITMONLEE,FIGHTING,,50,120,53,35,110,87,
107,HITMONCHAN,FIGHTING,,50,105,79,35,110,76,
108,LICKITUNG,NORMAL,,90,55,75,60,75,30,
109,KOFFING,POISON,,40,65,95,60,45,35,
110,WEEZING,POISON,,65,90,120,85,70,60,
111,RHYHORN,GROUND,ROCK,80,85,95,30,30,25,
112,RHYDON,GROUND,ROCK,105,130,120,45,45,40,
113,CHANSEY,NORMAL,,250,5,5,35,105,50,
114,TANGELA,GRASS,,65,55,115,100,40,60,
115,KANGASKHAN,NORMAL,,105,95,80,40,80,90,
115,MEGA KANGASKHAN,NORMAL,,105,125,100,60,100,100,
116,HORSEA,WATER,,30,40,70,70,25,60,
117,SEADRA,WATER,,55,65,95,95,45,85,
118,GOLDEEN,WATER,,45,67,60,35,50,63,
119,SEAKING,WATER,,80,92,65,65,80,68,
120,STARYU,WATER,,30,45,55,70,55,85,
121,STARMIE,WATER,PSYCHIC,60,75,85,100,85,115,
122,MR. MIME,PSYCHIC,FAIRY,40,45,65,100,120,90,
123,SCYTHER,BUG,FLYING,70,110,80,55,80,105,
124,JYNX,ICE,PSYCHIC,65,50,35,115,95,95,
125,ELECTABUZZ,ELECTRIC,,65,83,57,95,85,105,
126,MAGMAR,FIRE,,65,95,57,100,85,93,
127,PINSIR,BUG,,65,125,100,55,70,85,
127,MEGA PINSIR,BUG,FLYING,65,155,120,65,90,105,
128,TAUROS,NORMAL,,75,100,95,40,70,110,
129,MAGIKARP,WATER,,20,10,55,15,20,80,
130,GYARADOS,WATER,FLYING,95,125,79,60,100,81,
130,MEGA GYARADOS,WATER,DARK,95,155,109,70,130,81,
131,LAPRAS,WATER,ICE,130,85,80,85,95,60,
132,DITTO,NORMAL,,48,48,48,48,48,48,
133,EEVEE,NORMAL,,55,55,50,45,65,55,
134,VAPOREON,WATER,,130,65,60,110,95,65,
135,JOLTEON,ELECTRIC,,65,65,60,110,95,130,
136,FLAREON,FIRE,,65,130,60,95,110,65,
137,PORYGON,NORMAL,,65,60,70,85,75,40,
138,OMANYTE,ROCK,WATER,35,40,100,90,55,35,
139,OMASTAR,ROCK,WATER,70,60,125,115,70,55,
140,KABUTO,ROCK,WATER,30,80,90,55,45,55,
141,KABUTOPS,ROCK,WATER,60,115,105,65,70,80,
142,AERODACTYL,ROCK,FLYING,80,105,65,60,75,130,
142,MEGA AERODACTYL,ROCK,FLYING,80,135,85,70,95,150,
143,SNORLAX,NORMAL,,160,110,65,65,110,30,
144,ARTICUNO,ICE,FLYING,90,85,100,95,125,85,
145,ZAPDOS,ELECTRIC,FLYING,90,90,85,125,90,100,
146,MOLTRES,FIRE,FLYING,90,100,90,125,85,90,
147,DRATINI,DRAGON,,41,64,45,50,50,50,
148,DRAGONAIR,DRAGON,,61,84,65,70,70,70,
149,DRAGONITE,DRAGON,FLYING,91,134,95,100,100,80,
150,MEWTWO,PSYCHIC,,106,110,90,154,90,130,
150,MEGA MEWTWO X,PSYCHIC,FIGHTING,106,190,100,154,100,130,
150,MEGA MEWTWO Y,PSYCHIC,,106,150,70,194,120,140,
151,MEW,PSYCHIC,,100,100,100,100,100,100,
152,CHIKORITA,GRASS,,45,49,65,49,65,45,
153,BAYLEEF,GRASS,,60,62,80,63,80,60,
154,MEGANIUM,GRASS,,80,82,100,83,100,80,
155,CYNDAQUIL,FIRE,,39,52,43,60,50,65,
156,QUILAVA,FIRE,,58,64,58,80,65,80,
157,TYPHLOSION,FIRE,,78,84,78,109,85,100,
158,TOTODILE,WATER,,50,65,64,44,48,43,
159,CROCONAW,WATER,,65,80,80,59,63,58,
160,FERALIGATR,WATER,,85,105,100,79,83,78,
161,SENTRET,NORMAL,,35,46,34,35,45,20,
162,FURRET,NORMAL,,85,76,64,45,55,90,
163,HOOTHOOT,NORMAL,FLYING,60,30,30,36,56,50,
164,NOCTOWL,NORMAL,FLYING,100,50,50,76,96,70,
165,LEDYBA,BUG,FLYING,40,20,30,40,80,55,
166,LEDIAN,BUG,FLYING,55,35,50,55,110,85,
167,SPINARAK,BUG,POISON,40,60,40,40,40,30,
168,ARIADOS,BUG,POISON,70,90,70,60,60,40,
169,CROBAT,POISON,FLYING,85,90,80,70,80,130,
170,CHINCHOU,WATER,ELECTRIC,75,38,38,56,56,67,
171,LANTURN,WATER,ELECTRIC,125,58,58,76,76,67,
172,PICHU,ELECTRIC,,20,40,15,35,35,60,
173,CLEFFA,FAIRY,,50,25,28,45,55,15,
174,IGGLYBUFF,NORMAL,FAIRY,90,30,15,40,20,15,
175,TOGEPI,FAIRY,,35,20,65,40,65,20,
176,TOGETIC,FAIRY,FLYING,55,40,85,80,105,40,
177,NATU,PSYCHIC,FLYING,40,50,45,70,45,70,
178,XATU,PSYCHIC,FLYING,65,75,70,95,70,95,
179,MAREEP,ELECTRIC,,55,40,40,65,45,35,
180,FLAAFFY,ELECTRIC,,70,55,55,80,60,45,
181,AMPHAROS,ELECTRIC,,90,75,85,115,90,55,
181,MEGA AMPHAROS,ELECTRIC,DRAGON,90,95,105,165,110,45,
182,BELLOSSOM,GRASS,,75,80,95,90,100,50,
183,MARILL,WATER,FAIRY,70,20,50,20,50,40,
184,AZUMARILL,WATER,FAIRY,100,50,80,60,80,50,
185,SUDOWOODO,ROCK,,70,100,115,30,65,30,
186,POLITOED,WATER,,90,75,75,90,100,70,
187,HOPPIP,GRASS,FLYING,35,35,40,35,55,50,
188,SKIPLOOM,GRASS,FLYING,55,45,50,45,65,80,
189,JUMPLUFF,GRASS,FLYING,75,55,70,55,95,110,
190,AIPOM,NORMAL,,55,70,55,40,55,85,
191,SUNKERN,GRASS,,30,30,30,30,30,30,
192,SUNFLORA,GRASS,,75,75,55,105,85,30,
193,YANMA,BUG,FLYING,65,65,45,75,45,95,
194,WOOPER,WATER,GROUND,55,45,45,25,25,15,
195,QUAGSIRE,WATER,GROUND,95,85,85,65,65,35,
196,ESPEON,PSYCHIC,,65,65,60,130,95,110,
197,UMBREON,DARK,,95,65,110,60,130,65,
198,MURKROW,DARK,FLYING,60,85,42,85,42,91,
199,SLOWKING,WATER,PSYCHIC,95,75,80,100,110,30,
200,MISDREAVUS,GHOST,,60,60,60,85,85,85,
201,UNOWN,PSYCHIC,,48,72,48,72,48,48,
202,WOBBUFFET,PSYCHIC,,190,33,58,33,58,33,
203,GIRAFARIG,NORMAL,PSYCHIC,70,80,65,90,65,85,
204,PINECO,BUG,,50,65,90,35,35,15,
205,FORRETRESS,BUG,STEEL,75,90,140,60,60,40,
206,DUNSPARCE,NORMAL,,100,70,70,65,65,45,
207,GLIGAR,GROUND,FLYING,65,75,105,35,65,85,
208,STEELIX,STEEL,GROUND,75,85,200,55,65,30,
208,MEGA STEELIX,STEEL,GROUND,75,125,230,55,95,30,
209,SNUBBULL,FAIRY,,60,80,50,40,40,30,
210,GRANBULL,FAIRY,,90,120,75,60,60,45,
211,QWILFISH,WATER,POISON,65,95,75,55,55,85,
212,SCIZOR,BUG,STEEL,70,130,100,55,80,65,
212,MEGA SCIZOR,BUG,STEEL,70,150,140,65,100,75,
213,SHUCKLE,BUG,ROCK,20,10,230,10,230,5,
214,HERACROSS,BUG,FIGHTING,80,125,75,40,95,85,
214,MEGA HERACROSS,BUG,FIGHTING,80,185,115,40,105,75,
215,SNEASEL,DARK,ICE,55,95,55,35,75,115,
216,TEDDIURSA,NORMAL,,60,80,50,50,50,40,
217,URSARING,NORMAL,,90,130,75,75,75,55,
218,SLUGMA,FIRE,,40,40,40,70,40,20,
219,MAGCARGO,FIRE,ROCK,50,50,120,80,80,30,
220,SWINUB,ICE,GROUND,50,50,40,30,30,50,
221,PILOSWINE,ICE,GROUND,100,100,80,60,60,50,
222,CORSOLA,WATER,ROCK,55,55,85,65,85,35,
223,REMORAID,WATER,,35,65,35,65,35,65,
224,OCTILLERY,WATER,,75,105,75,105,75,45,
225,DELIBIRD,ICE,FLYING,45,55,45,65,45,75,
226,MANTINE,WATER,FLYING,65,40,70,80,140,70,
227,SKARMORY,STEEL,FLYING,65,80,140,40,70,70,
228,HOUNDOUR,DARK,FIRE,45,60,30,80,50,65,
229,HOUNDOOM,DARK,FIRE,75,90,50,110,80,95,
229,MEGA HOUNDOOM,DARK,FIRE,75,90,90,140,90,115,
230,KINGDRA,WATER,DRAGON,75,95,95,95,95,85,
231,PHANPY,GROUND,,90,60,60,40,40,40,
232,DONPHAN,GROUND,,90,120,120,60,60,50,
233,PORYGON2,NORMAL,,85,80,90,105,95,60,
234,STANTLER,NORMAL,,73,95,62,85,65,85,
235,SMEARGLE,NORMAL,,55,20,35,20,45,75,
236,TYROGUE,FIGHTING,,35,35,35,35,35,35,
237,HITMONTOP,FIGHTING,,50,95,95,35,110,70,
238,SMOOCHUM,ICE,PSYCHIC,45,30,15,85,65,65,
239,ELEKID,ELECTRIC,,45,63,37,65,55,95,
240,MAGBY,FIRE,,45,75,37,70,55,83,
241,MILTANK,NORMAL,,95,80,105,40,70,100,
242,BLISSEY,NORMAL,,255,10,10,75,135,55,
243,RAIKOU,ELECTRIC,,90,85,75,115,100,115,
244,ENTEI,FIRE,,115,115,85,90,75,100,
245,SUICUNE,WATER,,100,75,115,90,115,85,
246,LARVITAR,ROCK,GROUND,50,64,50,45,50,41,
247,PUPITAR,ROCK,GROUND,70,84,70,65,70,51,
248,TYRANITAR,ROCK,DARK,100,134,110,95,100,61,
248,MEGA TYRANITAR,ROCK,DARK,100,164,150,95,120,71,
249,LUGIA,PSYCHIC,FLYING,106,90,130,90,154,110,
250,HO-OH,FIRE,FLYING,106,130,90,110,154,90,
251,CELEBI,PSYCHIC,GRASS,100,100,100,100,100,100,
252,TREECKO,GRASS,,40,45,35,65,55,70,
253,GROVYLE,GRASS,,50,65,45,85,65,95,
254,SCEPTILE,GRASS,,70,85,65,105,85,120,
254,MEGA SCEPTILE,GRASS,DRAGON,70,110,75,145,85,145,
255,TORCHIC,FIRE,,45,60,40,70,50,45,
256,COMBUSKEN,FIRE,FIGHTING,60,85,60,85,60,55,
257,BLAZIKEN,FIRE,FIGHTING,80,120,70,110,70,80,
257,MEGA BLAZIKEN,FIRE,FIGHTING,80,160,80,130,80,100,
258,MUDKIP,WATER,,50,70,50,50,50,40,
259,MARSHTOMP,WATER,GROUND,70,85,70,60,70,50,
260,SWAMPERT,WATER,GROUND,100,110,90,85,90,60,
260,MEGA SWAMPERT,WATER,GROUND,100,150,110,95,110,70,
261,POOCHYENA,DARK,,35,55,35,30,30,35,
262,MIGHTYENA,DARK,,70,90,70,60,60,70,
263,ZIGZAGOON,NORMAL,,38,30,41,30,41,60,
264,LINOONE,NORMAL,,78,70,61,50,61,100,
265,WURMPLE,BUG,,45,45,35,20,30,20,
266,SILCOON,BUG,,50,35,55,25,25,15,
267,BEAUTIFLY,BUG,FLYING,60,70,50,100,50,65,
268,CASCOON,BUG,,50,35,55,25,25,15,
269,DUSTOX,BUG,POISON,60,50,70,50,90,65,
270,LOTAD,WATER,GRASS,40,30,30,40,50,30,
271,LOMBRE,WATER,GRASS,60,50,50,60,70,50,
272,LUDICOLO,WATER,GRASS,80,70,70,90,100,70,
273,SEEDOT,GRASS,,40,40,50,30,30,30,
274,NUZLEAF,GRASS,DARK,70,70,40,60,40,60,
275,SHIFTRY,GRASS,DARK,90,100,60,90,60,80,
276,TAILLOW,NORMAL,FLYING,40,55,30,30,30,85,
277,SWELLOW,NORMAL,FLYING,60,85,60,50,50,125,
278,WINGULL,WATER,FLYING,40,30,30,55,30,85,
279,PELIPPER,WATER,FLYING,60,50,100,85,70,65,
280,RALTS,PSYCHIC,FAIRY,28,25,25,45,35,40,
281,KIRLIA,PSYCHIC,FAIRY,38,35,35,65,55,50,
282,GARDEVOIR,PSYCHIC,FAIRY,68,65,65,125,115,80,
282,MEGA GARDEVOIR,PSYCHIC,FAIRY,68,85,65,165,135,100,
283,SURSKIT,BUG,WATER,40,30,32,50,52,65,
284,MASQUERAIN,BUG,FLYING,70,60,62,80,82,60,
285,SHROOMISH,GRASS,,60,40,60,40,60,35,
286,BRELOOM,GRASS,FIGHTING,60,130,80,60,60,70,
287,SLAKOTH,NORMAL,,60,60,60,35,35,30,
288,VIGOROTH,NORMAL,,80,80,80,55,55,90,
289,SLAKING,NORMAL,,150,160,100,95,65,100,
290,NINCADA,BUG,GROUND,31,45,90,30,30,40,
291,NINJASK,BUG,FLYING,61,90,45,50,50,160,
292,SHEDINJA,BUG,GHOST,1,90,45,30,30,40,
293,WHISMUR,NORMAL,,64,51,23,51,23,28,
294,LOUDRED,NORMAL,,84,71,43,71,43,48,
295,EXPLOUD,NORMAL,,104,91,63,91,73,68,
296,MAKUHITA,FIGHTING,,72,60,30,20,30,25,
297,HARIYAMA,FIGHTING,,144,120,60,40,60,50,
298,AZURILL,NORMAL,FAIRY,50,20,40,20,40,20,
299,NOSEPASS,ROCK,,30,45,135,45,90,30,
300,SKITTY,NORMAL,,50,45,45,35,35,50,
301,DELCATTY,NORMAL,,70,65,65,55,55,70,
302,SABLEYE,DARK,GHOST,50,75,75,65,65,50,
302,MEGA SABLEYE,DARK,GHOST,50,85,125,85,115,20,
303,MAWILE,STEEL,FAIRY,50,85,85,55,55,50,
303,MEGA MAWILE,STEEL,FAIRY,50,105,125,55,95,50,
304,ARON,STEEL,ROCK,50,70,100,40,40,30,
305,LAIRON,STEEL,ROCK,60,90,140,50,50,40,
306,AGGRON,STEEL,ROCK,70,110,180,60,60,50,
306,MEGA AGGRON,STEEL,,70,140,230,60,80,50,
307,MEDITITE,FIGHTING,PSYCHIC,30,40,55,40,55,60,
308,MEDICHAM,FIGHTING,PSYCHIC,60,60,75,60,75,80,
308,MEGA MEDICHAM,FIGHTING,PSYCHIC,60,100,85,80,85,100,
309,ELECTRIKE,ELECTRIC,,40,45,40,65,40,65,
310,MANECTRIC,ELECTRIC,,70,75,60,105,60,105,
310,MEGA MANECTRIC,ELECTRIC,,70,75,80,135,80,135,
311,PLUSLE,ELECTRIC,,60,50,40,85,75,95,
312,MINUN,ELECTRIC,,60,40,50,75,85,95,
313,VOLBEAT,BUG,,65,73,55,47,75,85,
314,ILLUMISE,BUG,,65,47,55,73,75,85,
315,ROSELIA,GRASS,POISON,50,60,45,100,80,65,
316,GULPIN,POISON,,70,43,53,43,53,40,
317,SWALOT,POISON,,100,73,83,73,83,55,
318,CARVANHA,WATER,DARK,45,90,20,65,20,65,
319,SHARPEDO,WATER,DARK,70,120,40,95,40,95,
319,MEGA SHARPEDO,WATER,DARK,70,140,70,110,65,105,
320,WAILMER,WATER,,130,70,35,70,35,60,
321,WAILORD,WATER,,170,90,45,90,45,60,
322,NUMEL,FIRE,GROUND,60,60,40,65,45,35,
323,CAMERUPT,FIRE,GROUND,70,100,70,105,75,40,
323,MEGA CAMERUPT,FIRE,GROUND,70,120,100,145,105,20,
324,TORKOAL,FIRE,,70,85,140,85,70,20,
325,SPOINK,PSYCHIC,,60,25,35,70,80,60,
326,GRUMPIG,PSYCHIC,,80,45,65,90,110,80,
327,SPINDA,NORMAL,,60,60,60,60,60,60,
328,TRAPINCH,GROUND,,45,100,45,45,45,10,
329,VIBRAVA,GROUND,DRAGON,50,70,50,50,50,70,
330,FLYGON,GROUND,DRAGON,80,100,80,80,80,100,
331,CACNEA,GRASS,,50,85,40,85,40,35,
332,CACTURNE,GRASS,DARK,70,115,60,115,60,55,
333,SWABLU,NORMAL,FLYING,45,40,60,40,75,50,
334,ALTARIA,DRAGON,FLYING,75,70,90,70,105,80,
334,MEGA ALTARIA,DRAGON,FAIRY,75,110,110,110,105,80,
335,ZANGOOSE,NORMAL,,73,115,60,60,60,90,
336,SEVIPER,POISON,,73,100,60,100,60,65,
337,LUNATONE,ROCK,PSYCHIC,70,55,65,95,85,70,
338,SOLROCK,ROCK,PSYCHIC,70,95,85,55,65,70,
339,BARBOACH,WATER,GROUND,50,48,43,46,41,60,
340,WHISCASH,WATER,GROUND,110,78,73,76,71,60,
341,CORPHISH,WATER,,43,80,65,50,35,35,
342,CRAWDAUNT,WATER,DARK,63,120,85,90,55,55,
343,BALTOY,GROUND,PSYCHIC,40,40,55,40,70,55,
344,CLAYDOL,GROUND,PSYCHIC,60,70,105,70,120,75,
345,LILEEP,ROCK,GRASS,66,41,77,61,87,23,
346,CRADILY,ROCK,GRASS,86,81,97,81,107,43,
347,ANORITH,ROCK,BUG,45,95,50,40,50,75,
348,ARMALDO,ROCK,BUG,75,125,100,70,80,45,
349,FEEBAS,WATER,,20,15,20,10,55,80,
350,MILOTIC,WATER,,95,60,79,100,125,81,
351,CASTFORM,NORMAL,,70,70,70,70,70,70,
352,KECLEON,NORMAL,,60,90,70,60,120,40,
353,SHUPPET,GHOST,,44,75,35,63,33,45,
354,BANETTE,GHOST,,64,115,65,83,63,65,
354,MEGA BANETTE,GHOST,,64,165,75,93,83,75,
355,DUSKULL,GHOST,,20,40,90,30,90,25,
356,DUSCLOPS,GHOST,,40,70,130,60,130,25,
357,TROPIUS,GRASS,FLYING,99,68,83,72,87,51,
358,CHIMECHO,PSYCHIC,,65,50,70,95,80,65,
359,ABSOL,DARK,,65,130,60,75,60,75,
359,MEGA ABSOL,DARK,,65,150,60,115,60,115,
360,WYNAUT,PSYCHIC,,95,23,48,23,48,23,
361,SNORUNT,ICE,,50,50,50,50,50,50,
362,GLALIE,ICE,,80,80,80,80,80,80,
362,MEGA GLALIE,ICE,,80,120,80,120,80,100,
363,SPHEAL,ICE,WATER,70,40,50,55,50,25,
364,SEALEO,ICE,WATER,90,60,70,75,70,45,
365,WALREIN,ICE,WATER,110,80,90,95,90,65,
366,CLAMPERL,WATER,,35,64,85,74,55,32,
367,HUNTAIL,WATER,,55,104,105,94,75,52,
368,GOREBYSS,WATER,,55,84,105,114,75,52,
369,RELICANTH,WATER,ROCK,100,90,130,45,65,55,
370,LUVDISC,WATER,,43,30,55,40,65,97,
371,BAGON,DRAGON,,45,75,60,40,30,50,
372,SHELGON,DRAGON,,65,95,100,60,50,50,
373,SALAMENCE,DRAGON,FLYING,95,135,80,110,80,100,
373,MEGA SALAMENCE,DRAGON,FLYING,95,145,130,120,90,120,
374,BELDUM,STEEL,PSYCHIC,40,55,80,35,60,30,
375,METANG,STEEL,PSYCHIC,60,75,100,55,80,50,
376,METAGROSS,STEEL,PSYCHIC,80,135,130,95,90,70,
376,MEGA METAGROSS,STEEL,PSYCHIC,80,145,150,105,110,110,
377,REGIROCK,ROCK,,80,100,200,50,100,50,
378,REGICE,ICE,,80,50,100,100,200,50,
379,REGISTEEL,STEEL,,80,75,150,75,150,50,
380,LATIAS,DRAGON,PSYCHIC,80,80,90,110,130,110,
380,MEGA LATIAS,DRAGON,PSYCHIC,80,100,120,140,150,110,
381,LATIOS,DRAGON,PSYCHIC,80,90,80,130,110,110,
381,MEGA LATIOS,DRAGON,PSYCHIC,80,130,100,160,120,110,
382,KYOGRE,WATER,,100,100,90,150,140,90,
382,KYOGREPRIMAL KYOGRE,WATER,,100,150,90,180,160,90,
383,GROUDON,GROUND,,100,150,140,100,90,90,
383,GROUDONPRIMAL GROUDON,GROUND,FIRE,100,180,160,150,90,90,
384,RAYQUAZA,DRAGON,FLYING,105,150,90,150,90,95,
384,MEGA RAYQUAZA,DRAGON,FLYING,105,180,100,180,100,115,
385,JIRACHI,STEEL,PSYCHIC,100,100,100,100,100,100,
386,DEOXYSNORMAL FORME,PSYCHIC,,50,150,50,150,50,150,
386,DEOXYSATTACK FORME,PSYCHIC,,50,180,20,180,20,150,
386,DEOXYSDEFENSE FORME,PSYCHIC,,50,70,160,70,160,90,
386,DEOXYSSPEED FORME,PSYCHIC,,50,95,90,95,90,180,
387,TURTWIG,GRASS,,55,68,64,45,55,31,
388,GROTLE,GRASS,,75,89,85,55,65,36,
389,TORTERRA,GRASS,GROUND,95,109,105,75,85,56,
390,CHIMCHAR,FIRE,,44,58,44,58,44,61,
391,MONFERNO,FIRE,FIGHTING,64,78,52,78,52,81,
392,INFERNAPE,FIRE,FIGHTING,76,104,71,104,71,108,
393,PIPLUP,WATER,,53,51,53,61,56,40,
394,PRINPLUP,WATER,,64,66,68,81,76,50,
395,EMPOLEON,WATER,STEEL,84,86,88,111,101,60,
396,STARLY,NORMAL,FLYING,40,55,30,30,30,60,
397,STARAVIA,NORMAL,FLYING,55,75,50,40,40,80,
398,STARAPTOR,NORMAL,FLYING,85,120,70,50,60,100,
399,BIDOOF,NORMAL,,59,45,40,35,40,31,
400,BIBAREL,NORMAL,WATER,79,85,60,55,60,71,
401,KRICKETOT,BUG,,37,25,41,25,41,25,
